id,created_at_utc,tweet_text,tweet_url,geo_coordinates,fav_count_or_likes,retweet_count,author_location,author_followers_count,author_screen_name,author_fav_count,geo,retweeted,source url,source
1067075835558023168,2018-11-26 15:21:19,"I have tried all of the three brands that I have tagged and my absolute favorite is @chobani   #greekyogurt #wegmans #productpromotion #productreview. @ King of Prussia, Pennsylvania https://t.co/753juqtoW1",www.twitter.com/LilleV1985/status/1067075835558023168,"{'coordinates': [-75.3781, 40.0946], 'type': 'Point'}",0,0,St Somewhere USVI,298,LilleV1985,50,"{'coordinates': [40.0946, -75.3781], 'type': 'Point'}",False,http://instagram.com,Instagram
1067058062249390080,2018-11-26 14:10:41,When your #salsa gives you a #boner. What poor sexually frustrated human is writing these descriptions for #wegmans between pages of their #adultromancenovel ??? https://t.co/PuYFkvNq7c,www.twitter.com/TheoWampler/status/1067058062249390080,,3,1,"Philadelphia, PA",53,TheoWampler,356,,False,https://mobile.twitter.com,Twitter Lite
1066995267352825858,2018-11-26 10:01:10,@ReaLVLenin If there were a #Wegmans every shopping center there would be peace on earth,www.twitter.com/Spatial_Punk/status/1066995267352825858,,0,0,"Fort Collins, CO2",4180,Spatial_Punk,6892,,False,http://tapbots.com/tweetbot,Tweetbot for iΟS
1066856606565105667,2018-11-26 00:50:10,"RT @TheLewView: Saw these this morning at the grocery store and I honestly can’t decide which one is more disturbing. 
#grocerystorefinds #…",www.twitter.com/RkyMtnNaturals/status/1066856606565105667,,0,1,"Colorado, USA",5115,RkyMtnNaturals,573,,False,http://www.rockymountainnaturals.com,RkyMtnNaturalsTweets
1066806668665765894,2018-11-25 21:31:44,Tis the season to BE AWARE OF THE OTHER PEOPLE IN THE STORE #smh #Wegmans,www.twitter.com/Stephanie_Magin/status/1066806668665765894,,1,0,"Tonawanda, NY",61,Stephanie_Magin,2286,,False,http://twitter.com/download/android,Twitter for Android
1066732030623272960,2018-11-25 16:35:09,"Saw these this morning at the grocery store and I honestly can’t decide which one is more disturbing. 
#grocerystorefinds #wegmans #sauerkraut #mayochup #mayonnaise #ketchup… https://t.co/KQE1fjgjur",www.twitter.com/TheLewView/status/1066732030623272960,,0,1,,338,TheLewView,23070,,False,http://instagram.com,Instagram
1066544839188189184,2018-11-25 04:11:19,"@Wegmans @WKBW Hello Wegmans friends, I just wrote an article describing a few reasons why Wegmans is truly the best!! take a look and share! thank you :) #wegmans #sevenwonders 
https://t.co/D4SLfBm6C7",www.twitter.com/ShannonMulCREW/status/1066544839188189184,,0,0,,237,ShannonMulCREW,13650,,False,http://twitter.com,Twitter Web Client
1066448057515036672,2018-11-24 21:46:45,"RT @LdBandGirl: #vegan eggnog choices for the season. These are at #wegmans. 
#veganeggnog part 2 https://t.co/Ub3TwJPw7S",www.twitter.com/table4humana/status/1066448057515036672,,0,2,,87,table4humana,594,,False,http://twitter.com/download/iphone,Twitter for iPhone
1066448048547602434,2018-11-24 21:46:43,"RT @LdBandGirl: #vegan eggnog choices for the season. These are at #wegmans. 
#veganeggnog part 1 https://t.co/lD8X2QoexY",www.twitter.com/table4humana/status/1066448048547602434,,0,2,,87,table4humana,594,,False,http://twitter.com/download/iphone,Twitter for iPhone
1066447962493071361,2018-11-24 21:46:22,"RT @LdBandGirl: #vegan eggnog choices for the season. These are at #wegmans. 
#veganeggnog part 2 https://t.co/Ub3TwJPw7S",www.twitter.com/kristyt4h/status/1066447962493071361,,0,2,"Pennsylvania, USA",87,kristyt4h,728,,False,http://twitter.com/download/iphone,Twitter for iPhone
1066447939055349760,2018-11-24 21:46:16,"RT @LdBandGirl: #vegan eggnog choices for the season. These are at #wegmans. 
#veganeggnog part 1 https://t.co/lD8X2QoexY",www.twitter.com/kristyt4h/status/1066447939055349760,,0,2,"Pennsylvania, USA",87,kristyt4h,728,,False,http://twitter.com/download/iphone,Twitter for iPhone
1066447901457551360,2018-11-24 21:46:08,"#vegan eggnog choices for the season. These are at #wegmans. 
#veganeggnog part 2 https://t.co/Ub3TwJPw7S",www.twitter.com/LdBandGirl/status/1066447901457551360,,2,2,United States,43,LdBandGirl,122,,False,http://twitter.com/download/iphone,Twitter for iPhone
1066447826668974081,2018-11-24 21:45:50,"#vegan eggnog choices for the season. These are at #wegmans. 
#veganeggnog part 1 https://t.co/lD8X2QoexY",www.twitter.com/LdBandGirl/status/1066447826668974081,,2,2,United States,43,LdBandGirl,122,,False,http://twitter.com/download/iphone,Twitter for iPhone
1066384911937036288,2018-11-24 17:35:50,RT @BuffaloInABox: Whats in Your #BOX? https://t.co/MaLsFizt9i  We'll #FillUpYourPlate! #Buffalo #Foodie That #Ships #WNY #ROC #CNY #EATS!…,www.twitter.com/BuffaloInABox/status/1066384911937036288,,0,2,"Buffalo, New York",7573,BuffaloInABox,284597,,False,http://twitter.com,Twitter Web Client
1066361602583216128,2018-11-24 16:03:12,Brilliant read for every #CEO ...#Management advice from 400 years ago: A happy team is built on #thankfulness .  #Wegmans Outperforms #Netflix  #LeadershipDevelopment 101 https://t.co/CZr8kX00Br,www.twitter.com/marcom201/status/1066361602583216128,,0,0,,198,marcom201,335,,False,http://twitter.com/download/iphone,Twitter for iPhone
1066356514473066498,2018-11-24 15:42:59,"ACTUAL RIPE AVOCADOES AT @WEGMANS

IT'S A GOD DAMN THANKSGIVING MIRACLE

#avocado #wegmans https://t.co/B2OBggMy9q https://t.co/KhRJTsVo4e",www.twitter.com/thomdunn/status/1066356514473066498,,3,0,"Boston, MA & Ithaca, NY",4488,thomdunn,47670,,False,https://ifttt.com,IFTTT
1066143286233059330,2018-11-24 01:35:42,"RT @Wegmans: We’re proud to be a great place to work for everyone, and we’re grateful to all of the women who are part of our Wegmans famil…",www.twitter.com/nycstylecannoli/status/1066143286233059330,,0,41,,4572,nycstylecannoli,14124,,False,http://twitter.com/download/android,Twitter for Android
1066022881010860037,2018-11-23 17:37:15,"Seriously, @wegmans is the best #supermarket. Don’t @ me #wegmans https://t.co/cBA8HFXblx",www.twitter.com/cityfoodiful/status/1066022881010860037,,0,0,"Orlando, FL",124,cityfoodiful,185,,False,http://twitter.com/download/iphone,Twitter for iPhone
