id,created_at_utc,tweet_text,tweet_url,geo_coordinates,fav_count_or_likes,retweet_count,author_location,author_geo_coordinates,author_followers_count,author_screen_name,author_fav_count,geo,retweeted,source url,source
1068531318244425729,2018-11-30 15:44:53,RT @Wegmans: We can’t thank @greenphillyblog enough for helping us share our journey to Zero Waste! Feeling inspired? Here are some waste-r…,www.twitter.com/toriperri/status/1068531318244425729,,0,5,"Rochester, NY ","{'lng': -77.6088465, 'lat': 43.15657789999999}",201,toriperri,6517,,False,http://twitter.com/download/iphone,Twitter for iPhone
1068494960708734977,2018-11-30 13:20:24,"RT @SalsaCuse: Easy recipe, amazing taste! #holidayentertaining #wegmans #buylocal #cnyfood #CUSE https://t.co/qmtbmQmJcK",www.twitter.com/t_Mac_141/status/1068494960708734977,,0,1,Cazenovia,"{'lng': -75.85269149999999, 'lat': 42.9300668}",474,t_Mac_141,2587,,False,http://twitter.com/download/iphone,Twitter for iPhone
1068492738272944128,2018-11-30 13:11:35,"Easy recipe, amazing taste! #holidayentertaining #wegmans #buylocal #cnyfood #CUSE https://t.co/qmtbmQmJcK",www.twitter.com/SalsaCuse/status/1068492738272944128,,4,1,Cazenovia CNY,"{'lng': -75.85019199999999, 'lat': 42.9287547}",1309,SalsaCuse,10992,,False,http://twitter.com/download/iphone,Twitter for iPhone
1068334353036513281,2018-11-30 02:42:13,"@Wegmans really is the best, but it’s time they stop using styrofoam egg cartons. #GoGreen #Wegmans #Recycle",www.twitter.com/flourcitypunk/status/1068334353036513281,,0,0,The Flour City,"{'lng': -77.6088465, 'lat': 43.15657789999999}",50,flourcitypunk,824,,False,http://twitter.com/download/iphone,Twitter for iPhone
1068131945341771776,2018-11-29 13:17:55,"RT @bostonmedflight: December 8, 2018 Santa Claus and his helpers will be flying by helicopter*-weather permitting-into the Boston Common b…",www.twitter.com/devnul0/status/1068131945341771776,,0,4,"Waltham, MA","{'lng': -71.2356113, 'lat': 42.3764852}",170,devnul0,5982,,False,https://twitterrific.com/ios,Twitterrific for iOS
1067961348422807553,2018-11-29 02:00:01,RT @MyVirtualVaca: @DCWriterMom @MetroCooking @washingtondc Hi Renee!! I love the Capitol City BBQ sauce! We get it at #Wegmans. #FoodTrave…,www.twitter.com/emptyplateadv/status/1067961348422807553,,0,1,,,6154,emptyplateadv,11229,,False,http://twitter.com,Twitter Web Client
1067961012035469312,2018-11-29 01:58:41,@DCWriterMom @MetroCooking @washingtondc Hi Renee!! I love the Capitol City BBQ sauce! We get it at #Wegmans. #FoodTravelChat,www.twitter.com/MyVirtualVaca/status/1067961012035469312,,2,1,"Maryland, USA","{'lng': -76.64127119999999, 'lat': 39.0457549}",19424,MyVirtualVaca,86318,,False,http://twitter.com/#!/download/ipad,Twitter for iPad
1067894861041418241,2018-11-28 21:35:50,"RT @bostonmedflight: December 8, 2018 Santa Claus and his helpers will be flying by helicopter*-weather permitting-into the Boston Common b…",www.twitter.com/patriottaxi/status/1067894861041418241,,0,4,N 42°22' 0'' / W 71°14' 0'',,335,patriottaxi,3732,,False,http://twitter.com/download/android,Twitter for Android
1067894182797352967,2018-11-28 21:33:08,"#SHIPT #PEAPOD @INSTACART  #Wegmans #Giant #Weis #ShopperServices  I PAY U a membership fee, a possible delivery fee, a HEFTY markup  AND U ask me to pay your employee for delivery?  PAY your employees and do not place consumers in the middle by expecting us to pick up the tab. https://t.co/z7NWg8ow73",www.twitter.com/JourneyRaptured/status/1067894182797352967,,0,0,,,17,JourneyRaptured,52,,False,http://twitter.com,Twitter Web Client
1067860051682107393,2018-11-28 19:17:30,"RT @bostonmedflight: December 8, 2018 Santa Claus and his helpers will be flying by helicopter*-weather permitting-into the Boston Common b…",www.twitter.com/nardi230/status/1067860051682107393,,0,4,,,147,nardi230,1868,,False,http://twitter.com/download/iphone,Twitter for iPhone
1067859425996800000,2018-11-28 19:15:01,"RT @bostonmedflight: December 8, 2018 Santa Claus and his helpers will be flying by helicopter*-weather permitting-into the Boston Common b…",www.twitter.com/5_13Dist/status/1067859425996800000,,0,4,New England,"{'lng': -70.8226541, 'lat': 43.9653889}",8568,5_13Dist,10111,,False,http://twitter.com/download/android,Twitter for Android
